timestamp,value,__name__,instance,job,namespace,phase,pod,uid
1780612273,0,kube_pod_status_phase,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,Succeeded,redis-cart-6899b65948-brs6z,c03c8c5b-8ea8-4ccb-923c-5caf5cd444a0
1780612288,0,kube_pod_status_phase,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,Succeeded,redis-cart-6899b65948-brs6z,c03c8c5b-8ea8-4ccb-923c-5caf5cd444a0
1780612078,0,kube_pod_status_phase,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,Succeeded,shippingservice-5dcc4d7bd-7rtkk,62fc476f-c2b4-4cf7-9a9d-ca71dea9fb42
1780612093,0,kube_pod_status_phase,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,Succeeded,shippingservice-5dcc4d7bd-7rtkk,62fc476f-c2b4-4cf7-9a9d-ca71dea9fb42
1780612108,0,kube_pod_status_phase,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,Succeeded,shippingservice-5dcc4d7bd-7rtkk,62fc476f-c2b4-4cf7-9a9d-ca71dea9fb42
1780612123,0,kube_pod_status_phase,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,Succeeded,shippingservice-5dcc4d7bd-7rtkk,62fc476f-c2b4-4cf7-9a9d-ca71dea9fb42
1780612138,0,kube_pod_status_phase,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,Succeeded,shippingservice-5dcc4d7bd-7rtkk,62fc476f-c2b4-4cf7-9a9d-ca71dea9fb42
1780612153,0,kube_pod_status_phase,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,Succeeded,shippingservice-5dcc4d7bd-7rtkk,62fc476f-c2b4-4cf7-9a9d-ca71dea9fb42
1780612168,0,kube_pod_status_phase,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,Succeeded,shippingservice-5dcc4d7bd-7rtkk,62fc476f-c2b4-4cf7-9a9d-ca71dea9fb42
1780612183,0,kube_pod_status_phase,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,Succeeded,shippingservice-5dcc4d7bd-7rtkk,62fc476f-c2b4-4cf7-9a9d-ca71dea9fb42
1780612198,0,kube_pod_status_phase,kube-state-metrics.monitoring.svc.cluster.local:8080,kube-state-metrics,online-boutique,Succeeded,shippingservice-5dcc4d7bd-7rtkk,62fc476f-c2b4-4cf7-9a9d-ca71dea9fb42
